,idx,question,answer
0,16069.0,Providing information on Construction Planning under the authority of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
1,16069.0,Information on Construction Planning falls under the authority of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
2,16069.0,Construction planning is under the authority of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
3,16069.0,How to know about Construction Planning under the jurisdiction of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
4,16069.0,Measures with information on Construction Planning fall under the jurisdiction of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
5,16069.0,Information about Construction Planning falls under the authority of the Provincial People's Committee,Construction planning |receiver_place: Provincial public administration center |time_process: 15 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069
15,19610.0,Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
16,19610.0,Procedures for appraising construction investment feasibility study reports,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
17,19610.0,Application for appraisal of construction investment feasibility study report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
18,19610.0,Conditions for appraisal of construction investment feasibility study report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
19,19610.0,Steps to evaluate construction investment feasibility study report,Appraisal of Feasibility Study Report |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610
