ID	idx	procs	reponse	reponse2	reciever_place	time_processing	cost	link	tags
3	16069	Providing information on Construction Planning under the authority of the Provincial People's Committee	To find out information about: Providing information about Construction Planning under the authority of the Provincial People's Committee	Construction planning	Provincial public administration center	15 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/16069	Construction planning
3	16069	Information on Construction Planning falls under the authority of the Provincial People's Committee							
3	16069	Construction planning is under the authority of the Provincial People's Committee							
3	16069	How to know about Construction Planning under the jurisdiction of the Provincial People's Committee							
3	16069	Measures with information on Construction Planning fall under the jurisdiction of the Provincial People's Committee							
3	16069	Information about Construction Planning falls under the authority of the Provincial People's Committee							
3		Construction planning information							
3		Providing construction planning information							
3		Construction planning							
3		construction planning							
3		zoning							
3		Provide planning information							
3		Land planning							
3		urban planning							
3		Check planning							
47	19610	Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report	To find out information about: Appraisal of Construction Investment Feasibility Study Report/ Adjustment of Construction Investment Feasibility Study Report	Appraisal of Feasibility Study Report				https://dichvucong.thuathienhue.gov.vn/tthc/pid/19610	Project construction management
47	19610	Procedures for appraising construction investment feasibility study reports							
47	19610	Application for appraisal of construction investment feasibility study report							
47	19610	Conditions for appraisal of construction investment feasibility study report							
47	19610	Steps to evaluate construction investment feasibility study report							
47	19610	How to adjust the Construction Investment Feasibility Study Report							
47	19610	Application for adjustment of construction investment feasibility study report							
47	19610	Procedures for adjusting the Construction Investment Feasibility Study Report							
47	19610	Conditions for adjusting the Construction Investment Feasibility Study Report							
47		Construction investment feasibility study report							
47		Adjust construction investment reports							
47		Adjustment of Investment Proposal Report							
47		Adjust project investment proposal report.							
279	16070	Providing information on construction planning under the authority of the district People's Committee	To find out information about: Providing information about construction planning under the authority of the district People's Committee	Construction planning falls under the authority of the district People's Committee	Provincial public administration center	15 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/16070	Zoning
279	16070	The method of providing information on construction planning falls under the authority of the district-level People's Committee							
279	16070	Measures to provide information on construction planning fall under the authority of the district-level People's Committee							
279	16070	Procedures for providing information on construction planning fall under the authority of the district People's Committee							
279	16070	How to provide information about construction planning under the authority of the district People's Committee							
279	16070	The method of providing information on construction planning falls under the authority of the district People's Committee							
279		Information on construction planning implemented by the District People's Committee.							
279		Construction planning is implemented by the District People's Committee.							
279		Information about construction planning							
279		Construction planning according to the District People's Committee							
279		Construction planning is chaired by the District People's Committee							
279		Information on construction planning is chaired by the District People's Committee							
279		Construction planning information							
279		Construction planning							
279		Provide planning information							
279		Provide construction information							
279		Provide planning information							
281	8328	Receive declaration of products and construction materials conforming to technical regulations	To find out information about: Receiving declaration of products and goods of construction materials in accordance with technical regulations	Receive declaration of products and construction materials conforming to technical regulations	Provincial public administration center	5 days	Fee waived	https://dichvucong.thuathienhue.gov.vn/tthc/pid/8328	Construction activities
281	8328	Register to receive declaration of products and goods of construction materials in accordance with technical regulations							
281	8328	Procedures for receiving declaration of products and goods of construction materials in accordance with technical regulations							
281	8328	Application for receipt of declaration of products and goods of construction materials in accordance with technical regulations							
281	8328	Conditions for receiving declaration of products and goods of construction materials in accordance with technical regulations							
281		Check and accept the project							
281		Project acceptance							
281		Project acceptance inspection							
281		Investigation and acceptance of projects							
281		How to accept the project?							
281		announcement of construction materials							
281		Announcing construction materials products and goods							
281		building materials							
3411	17558	Issuance of renewal of class II and class III construction practice certificates	To find out information about: Issuing renewal of class II and class III construction practice certificates	Issuance of renewal of class II and class III construction practice certificates	Provincial public administration center	20 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/17558	Construction activities
3411	17558	Register for renewal of class II and class III construction practice certificates							
3411	17558	Conditions for granting renewal of class II and class III construction practice certificates							
3411	17558	Application for renewal of class II, class III construction practice certificate							
3411	17558	Procedures for granting renewal of class II and class III construction practice certificates							
3411	11192	Issue certificates of capacity for construction activities for the first time, class II and class III	To find out information about: Issuing certificates of capacity for construction activities for the first time, class II, class III	Information about the first issuance of certificates of capacity for construction activities, class II and class III	Provincial public administration center	20 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/11192	Construction activities
