ID	idx	procs	reponse	reponse2	reciever_place	time_processing	cost	link	tags
199	19873	Register to change name, head office address, production and business industry, charter capital, legal representative; name, address, branch representative, representative office of the cooperative union, People's Credit Fund	To find out information about: Registering to change name, head office address, production and business industry, charter capital, legal representative; name, address, branch representative, representative office of the cooperative union, People's Credit Fund	Register to change name, head office address, production and business industry, charter capital, legal representative; name, address, branch representative, representative office of the cooperative union, People's Credit Fund				https://dichvucong.thuathienhue.gov.vn/tthc/pid/19873	Field of establishment and operation of Cooperatives (Union of Cooperatives) (19 administrative procedures)
199	19873	How to register to change information of cooperative unions							
199	19873	How to change business information of cooperative unions							
199	19873	Procedures for changing information of cooperative unions							
199	19873	How to register to change People's Credit Fund information							
199	19873	How to change business information of the People's Credit Fund							
199	19873	Procedures for changing information of the People's Credit Fund							
272	17338	Register to change the content of business household registration	To find out information about: Registering to change the content of business household registration	Register to change the content of business household registration	Provincial public administration center	3 days	30,000 VND/time	https://dichvucong.thuathienhue.gov.vn/tthc/pid/17338	
272	17338	Dossier for changing business household registration							
272	17338	I need to change the content of business household registration							
272	17338	What should I do if I change my business registration?							
272	17338	Procedures for registering changes to business household registration content							
272	17338	Regulations when changing the content of business household registration							
272	17338	Conditions for changing the content of business household registration							
272	17338	Requirements when changing the content of business household registration							
25712	17981	Appraisal of project investment policy	To find out information about: Appraisal of project investment policies	Appraisal of project investment policy	Provincial public administration center	See procedure details	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/17981	Construction investment field
25712	17981	Does project investment require appraisal?							
25712	17981	Procedures for appraising project investment policies							
25712	17981	Dossier for appraisal of project investment policy							
25712	17981	How is the project investment policy evaluated?							
25712	17981	Information on project investment policy appraisal							
25712	17981	Project investment appraisal procedures							
25712	17981	Procedures for appraising investment direction for projects							
25712	17981	Investing in construction projects requires appraisal of policies							
25712	10807	Does project investment require appraisal?							
25712	10807	Procedures for appraising project investment policies							
25712	10807	Dossier for appraisal of project investment policy							
25712	10807	How is the project investment policy evaluated?							
25712	10807	Information on project investment policy appraisal							
25712	8926	Procedures for appraising project investment policy							
25712	8926	How to apply for project investment policy appraisal							
25712	8922	Procedures for appraising project investment policies							
25712	8922	Steps to evaluate project investment policy							
31211	17717	Termination of branch operations, representative offices, and business locations	To find out information about: Termination of branch operations, representative offices, and business locations	Termination of branch operations, representative offices, and business locations	Provincial public administration center	5 days	50,000 VND/time	https://dichvucong.thuathienhue.gov.vn/tthc/pid/17717	Field Establishment and operation of enterprises (51 administrative procedures)
31211	17717	Termination of operations of a business branch							
31211	17717	Termination of business location operations							
32711	12343	Submit for approval of project adjustments and technical and economic reports (Group C)	To find out information about: Project adjustment approval, technical and economic reports (Group C)	Submit for approval of project adjustments and technical and economic reports (Group C)	Provincial public administration center	35 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/12343	Construction investment field (According to Decision No. 3027 of the Provincial People's Committee dated December 26, 2018) (connected with specialized Departments)
32711	12343	Procedures for approval of group C projects							
32711	12343	Procedures for submitting and approving adjustments to technical and economic reports of group C							
32711	12343	Dossier submitted for approval to adjust group C projects							
32711	12343	Dossier submitted for approval of adjustment of group C economic and technical report							
32711	12343	Steps to submit group C projects for approval							
32711	12343	Steps for submitting and approving adjustments to technical and economic reports of group C							
32711	12343	want to submit project adjustments and group C technical and economic reports for approval							
32711	12344	Submit for approval of project adjustments and technical and economic reports (Group B)	To find out information about: Project adjustment approval, technical and economic reports (Group B)	Submit for approval of project adjustments and technical and economic reports (Group B)	Provincial public administration center	45 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/12344	Construction investment field (According to Decision No. 3027 of the Provincial People's Committee dated December 26, 2018) (connected with specialized Departments)
32711	12344	Procedures for approval of group B projects							
32711	12344	Procedures for submitting and approving adjustments to technical and economic reports of group B							
32711	12344	Dossier submitted for approval to adjust group B projects							
32711	12344	Dossier submitted for approval to adjust technical and economic report group B							
32711	12344	Steps to submit group B projects for approval							
32711	12344	Steps for submitting and approving adjustments to technical and economic reports of group B							
32711	12344	I want to submit project adjustments and group B technical and economic reports for approval							
32711	12358	Procedures for approving adjustments to group C projects							
32711	12358	Procedures for approving adjustments to technical and economic reports of group C							
32711	12358	Dossier approving adjustments to group C projects							
32711	12358	Dossier for approval of adjustment of group C economic and technical report							
32711	12358	Steps to approve adjustments to group C projects							
32711	12358	Steps to approve adjustments to technical and economic reports of group C							
32711	12358	Please approve project adjustments and group C technical and economic reports							
32711	12341	Project approval, technical economic report (group B)	To find out information about: Project approval, technical and economic reports (group B)	Project approval, technical economic report (group B)	Provincial public administration center	45 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/12341	Construction investment field (According to Decision No. 3027 of the Provincial People's Committee dated December 26, 2018) (connected with specialized Departments)
32711	12341	Procedures for approving adjustments to group B projects							
32711	12341	Procedures for approving adjustments to technical and economic reports of group B							
32711	12341	Dossier approving adjustments to group B projects							
32711	12341	Dossier for approval of adjustment of group B technical and economic report							
32711	12341	Steps to approve adjustments to group B projects							
32711	12341	Steps to approve adjustments to technical and economic reports of group B							
32711	12341	Please approve project adjustments and group B technical and economic reports							
32711	14164	Procedures for project approval, group C economic and technical report							
32711	14164	Steps to apply for project approval and group C economic and technical report							
32711	14161	Procedures for project approval, group B economic and technical report							
32711	14161	Steps to apply for project approval and group B technical economic report							
32711	14162	How to submit project adjustments and group C technical and economic reports for approval							
32711	14162	Steps to submit for approval project adjustments and group C economic and technical reports							
32711	14163	How to submit project adjustments and group B technical and economic reports for approval							
32711	14163	Steps for submitting projects for approval and technical and economic reports of group B							
32713	9663	How to evaluate the project construction contractor selection plan?							
32713	9663	Procedures for appraising plans to select construction contractors							
32713	9663	Dossier for appraisal of construction contractor selection plan							
32713	9663	How is the construction contractor selection plan evaluated?							
32713	9663	Construction contractor appraisal procedures							
32713	9663	Choosing a construction contractor requires how to evaluate the plan							
32713	9663	Information on appraisal of construction contractor selection plans							
