,Unnamed: 0,question,answer
0,0,"hi, how are you doing?",greeting
1,1,i'm fine. how about yourself?,greeting
2,2,i'm pretty good. thanks for asking.,greeting
3,3,no problem. so how have you been?,greeting
4,4,i've been great. what about you?,greeting
5,5,i've been good. i'm in school right now.,greeting
6,6,what school do you go to?,greeting
7,7,i go to pcc.,greeting
8,8,do you like it there?,greeting
9,9,it's okay. it's a really big campus.,greeting
10,10,good luck with school.,greeting
11,11,how's it going?,greeting
12,12,i'm doing well. how about you?,greeting
13,13,"never better, thanks.",greeting
14,14,so how have you been lately?,greeting
15,15,i've actually been pretty good. you?,greeting
16,16,i'm actually in school right now.,greeting
17,17,which school do you attend?,greeting
18,18,i'm attending pcc right now.,greeting
19,19,are you enjoying it there?,greeting
20,20,it's not bad. there are a lot of people there.,greeting
21,21,good luck with that.,greeting
22,22,how are you doing today?,greeting
23,23,i'm doing great. what about you?,greeting
24,24,"i'm absolutely lovely, thank you.",greeting
25,25,everything's been good with you?,greeting
26,26,i haven't been better. how about yourself?,greeting
27,27,i started school recently.,greeting
28,28,where are you going to school?,greeting
29,29,i'm going to pcc.,greeting
30,30,how do you like it so far?,greeting
31,31,i like it so far. my classes are pretty good right now.,greeting
32,32,it's an ugly day today.,greeting
33,33,i know. i think it may rain.,greeting
34,34,"it's the middle of summer, it shouldn't rain today.",greeting
35,35,that would be weird.,greeting
36,36,"yeah, especially since it's ninety degrees outside.",greeting
37,37,"i know, it would be horrible if it rained and it was hot outside.",greeting
38,38,"yes, it would be. ",greeting
39,39,i really wish it wasn't so hot every day. ,greeting
40,40,me too. i can't wait until winter.,greeting
41,41,"i like winter too, but sometimes it gets too cold.",greeting
42,42,i'd rather be cold than hot.,greeting
43,43,it doesn't look very nice outside today.,greeting
44,44,you're right. i think it's going to rain later.,greeting
45,45,"in the middle of the summer, it shouldn't be raining.",greeting
46,46,that wouldn't seem right.,greeting
47,47,"considering that it's over ninety degrees outside, that would be weird.",greeting
48,48,"exactly, it wouldn't be nice if it started raining. it's too hot.",greeting
49,49,"i know, you're absolutely right.",greeting
50,50,i wish it would cool off one day.,greeting
51,51,"that's how i feel, i want winter to come soon.",greeting
52,52,"i enjoy the winter, but it gets really cold sometimes.",greeting
53,53,"i know what you mean, but i'd rather be cold than hot.",greeting
54,54,i wish it was a nicer day today.,greeting
55,55,that is true. i hope it doesn't rain.,greeting
56,56,it wouldn't rain in the middle of the summer.,greeting
57,57,it wouldn't seem right if it started raining right now.,greeting
58,58,it would be weird if it started raining in ninety degree weather.,greeting
59,59,any rain right now would be pointless.,greeting
60,60,"that's right, it really would be.",greeting
61,61,i want it to cool down some.,greeting
62,62,"i know what you mean, i can't wait until it's winter.",greeting
63,63,winter is great. i wish it didn't get so cold sometimes though.,greeting
64,64,it's such a nice day.,greeting
65,65,"yes, it is.",greeting
66,66,it looks like it may rain soon.,greeting
67,67,"yes, and i hope that it does.",greeting
68,68,why is that?,greeting
69,69,i really love how rain clears the air.,greeting
70,70,me too. it always smells so fresh after it rains.,greeting
71,71,"yes, but i love the night air after it rains.",greeting
72,72,really? why is it?,greeting
73,73,because you can see the stars perfectly.,greeting
74,74,i really hope it rains today.,greeting
75,75,isn't it a nice day?,greeting
76,76,it really is.,greeting
77,77,it seems that it may rain today.,greeting
78,78,hopefully it will.,greeting
79,79,how come?,greeting
80,80,i like how clear the sky gets after it rains.,greeting
81,81,i feel the same way. it smells so good after it rains.,greeting
82,82,i especially love the night air when it rains.,greeting
83,83,really? why?,greeting
84,84,the stars look so much closer after it rains.,greeting
85,85,i really want it to rain today.,greeting
86,86,don't you think it's nice out?,greeting
87,87,"yes, i think so too.",greeting
88,88,i think that it's going to rain.,greeting
89,89,i hope that it does rain.,greeting
90,90,you like the rain?,greeting
91,91,the sky looks so clean after it rains. i love it.,greeting
92,92,i understand. rain does make it smell cleaner.,greeting
93,93,i love most how it is at night after it rains.,greeting
94,94,how come?,greeting
95,95,you can see the stars so much more clearly after it rains.,greeting
96,96,i really want to go to the beach this weekend.,greeting
97,97,that sounds like fun. what's the weather going to be like?,greeting
98,98,i heard that it's going to be warm this weekend.,greeting
99,99,is it going to be perfect beach weather?,greeting
100,100,i believe so.,greeting
101,101,good. i hope it doesn't cool off this weekend.,greeting
102,102,i know. i really want to go to the beach.,greeting
103,103,but you know that california weather is really unpredictable.,greeting
104,104,"you're right. one minute it's hot, and then the next minute it's cold.",greeting
105,105,i really wish the weather would just stay the same.,greeting
106,106,i do too. that way we can have our activities planned ahead of time.,greeting
107,107,i would like to take a trip to the beach this weekend.,greeting
108,108,a trip to the beach would be fun. how is the weather going to be?,greeting
109,109,the forecast says that it will be warm on the weekend.,greeting
110,110,so do you think it'll be perfect weather for the beach?,greeting
111,111,it sounds like it will be.,greeting
112,112,i really hope it doesn't get cold.,greeting
113,113,"that would ruin things, i want to go so badly.",greeting
114,114,"the weather in california is unpredictable, so you never know.",greeting
115,115,that is true. the weather is constantly changing.,greeting
116,116,it would be nice if the weather would never change.,greeting
117,117,"that would be great, then we could plan things sooner.",greeting
118,118,it would be nice to go to the beach sometime this weekend.,greeting
119,119,what's the weather going to be like? i may want to go too.,greeting
120,120,the weather this weekend is supposed to be warm.,greeting
121,121,will it be good beach weather?,greeting
122,122,i think it will be.,greeting
123,123,it wouldn't be good if it got cold this weekend.,greeting
124,124,"i want this trip to be perfect, i hope it stays warm.",greeting
125,125,"this california weather is so uncertain, it's impossible to know what'll happen.",greeting
126,126,i know. every day the weather seems different.,greeting
127,127,i would love it if it wasn't always so unpredictable.,greeting
128,128,"hello, may i speak to alice please?",greeting
129,129,this is she. how's it going?,greeting
130,130,i've been trying to call you all day.,greeting
131,131,sorry about that. i was cleaning up.,greeting
132,132,it's okay.,greeting
133,133,so what were you calling me about?,greeting
134,134,"oh, i just wanted to see if you wanted to hang out tomorrow.",greeting
135,135,"sure, what did you want to do?",greeting
136,136,maybe we can go see a movie or something.,greeting
137,137,that sounds like fun. let's do it.,greeting
138,138,i'll see you tomorrow then.,greeting
139,139,"hi, how are you. is alice there?",greeting
140,140,speaking. what's up?,greeting
141,141,why haven't you answered the phone?,greeting
142,142,"my bad, i had chores to do.",greeting
143,143,that's all right.,greeting
144,144,what was the reason for your call?,greeting
145,145,i want to do something tomorrow with you.,greeting
146,146,sounds good. what did you have in mind?,greeting
147,147,i was thinking about seeing a movie.,greeting
148,148,"okay, let's go see a movie.",greeting
149,149,until then.,greeting
150,150,is alice available?,greeting
151,151,you're talking to her.,greeting
152,152,i've called you a hundred times today.,greeting
153,153,i was busy doing something. i apologize.,greeting
154,154,no problem.,greeting
155,155,did you need something?,greeting
156,156,do you want to do something tomorrow?,greeting
157,157,is there somewhere special you wanted to go?,greeting
158,158,how about a movie?,greeting
159,159,a movie sounds good.,greeting
160,160,have you seen the new girl in school?,greeting
161,161,"no, i haven't.",greeting
162,162,she's really pretty.,greeting
163,163,describe her to me.,greeting
164,164,she's not too tall.,greeting
165,165,"well, how tall is she?",greeting
166,166,she's about five feet even.,greeting
167,167,"what does she look like, though?",greeting
168,168,she has pretty light brown eyes.,greeting
169,169,i may know which girl you're talking about.,greeting
170,170,so you have seen her around?,greeting
171,171,"there's a new girl in school, have you seen her yet?",greeting
172,172,i haven't seen her yet.,greeting
173,173,i think that she is very pretty.,greeting
174,174,tell me how she looks.,greeting
