,idx,question,answer
0,17975.0,Issuing (re-issuing/ renewing/ extending) Class II surveying and mapping practice certificates,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
1,17975.0,Procedures for issuance (re-issuance/ renewal/ extension) of Class II surveying and mapping practice certificates,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
2,17975.0,Application for issuance (re-issuance/ renewal/ extension) of Class II surveying and mapping practice certificate,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
3,17975.0,Conditions for issuance (re-issue/ renewal/ extension) of Class II surveying and mapping practice certificate,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
4,17975.0,Steps to apply for (reissue/reissue/extend) Class II surveying and mapping practice certificate,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
5,17975.0,Get dental work to be granted (reissued/reissued/extended) with a Class II surveying and mapping practice certificate,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
6,17975.0,The agency has the right to issue (re-issue/re-issue/extend) Class II surveying and mapping practice certificates,Issuing a Class II surveying and mapping practice certificate |receiver_place: Provincial public administration center |time_process: 10 days |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975
7,15998.0,Declare and appraise environmental protection fee declarations for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998
8,15998.0,Register to declare and appraise the environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998
9,15998.0,Procedures for declaration and appraisal of environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998
10,15998.0,"I want to carry out the procedure to declare and appraise the environmental protection fee declaration for wastewater, what elements are needed?",Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998
11,15998.0,Application for declaration and appraisal of environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998
12,15998.0,Necessary conditions when registering: Declaration and appraisal of environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998
13,15998.0,How to declare and appraise the environmental protection fee declaration for wastewater quickly,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998
14,15997.0,Declare and appraise environmental protection fee declarations for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997
15,15997.0,Application for declaration and appraisal of environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997
16,15997.0,How to declare and evaluate environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997
17,15997.0,When can the environmental protection fee declaration for wastewater be declared and appraised?,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997
18,15997.0,Procedures for declaring and evaluating environmental protection fee declarations for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997
19,15997.0,Steps to declare and evaluate environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997
20,15997.0,Conditions for declaration and appraisal of environmental protection fee declaration for wastewater,Declare and appraise environmental protection fee declarations for wastewater |receiver_place: Provincial public administration center |time_process: 10 days |cost: Fee waived |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997
21,17781.0,Delete the registration of security measures using land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
22,17781.0,Procedures for de-registration of security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
23,17781.0,Approval of procedures for deletion of registration of security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
24,17781.0,Necessary conditions when carrying out procedures for deregistering security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
25,17781.0,Regulations on procedures for deregistration of security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
26,17781.0,Implementation process of the procedure to cancel registration of security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781
27,17772.0,Delete the registration of security measures using land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17772
28,17772.0,How to deregister security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17772
29,17772.0,Procedures for de-registration of security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17772
30,17772.0,Documents for de-registration of security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17772
31,17772.0,Conditions for de-registering security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17772
32,17772.0,Steps to deregister security interests in land use rights and assets attached to land,Delete the registration of security measures using land use rights and assets attached to land |receiver_place: Provincial public administration center |time_process: 1 day |cost: See procedure details |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/17772
33,19741.0,Procedures for renewing mineral exploitation licenses,Procedures for renewing mineral exploitation licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19741
34,19741.0,How to renew your Mineral Mining License,Procedures for renewing mineral exploitation licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19741
35,19741.0,Application for extension of Mineral Mining License,Procedures for renewing mineral exploitation licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19741
36,19741.0,Conditions for renewing mineral exploitation licenses,Procedures for renewing mineral exploitation licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19741
37,19741.0,Steps to renew Mineral Mining License,Procedures for renewing mineral exploitation licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19741
38,19741.0,Get dental work to renew your Mineral Mining License,Procedures for renewing mineral exploitation licenses |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19741
39,19740.0,Procedures for approval of mineral reserves,Procedures for approval of mineral reserves |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19740
40,19740.0,Application for approval of mineral reserves,Procedures for approval of mineral reserves |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19740
41,19740.0,Conditions for approval of mineral reserves,Procedures for approval of mineral reserves |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19740
42,19740.0,Dental work to get mineral reserve approval,Procedures for approval of mineral reserves |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19740
43,19740.0,How to get mineral reserve approval,Procedures for approval of mineral reserves |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19740
44,19740.0,Steps to approve mineral reserves,Procedures for approval of mineral reserves |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19740
45,19426.0,"Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19426"
46,19426.0,"Conditions when registering and issuing a Certificate of land use rights, ownership of houses and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19426"
47,19426.0,"Regulations on procedures for registration and issuance of Certificates of land use rights, ownership of houses and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19426"
48,19426.0,"Approve procedures for registration and issuance of Certificates of land use rights, ownership of houses and other assets attached to land for the first time","Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time |receiver_place:  |time_process:  |cost:  |link: https://dichvucong.thuathienhue.gov.vn/tthc/pid/19426"
