ID	idx	procs	reponse	reponse2	reciever_place	time_processing	cost	link	tags
31	17975	Issuing (re-issuing/ renewing/ extending) Class II surveying and mapping practice certificates	To find out information about: Issuing (re-issuing/ renewing/ renewing) Class II surveying and mapping practice certificates	Issuing a Class II surveying and mapping practice certificate	Provincial public administration center	10 days	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/17975	Surveying and mapping
31	17975	Procedures for issuance (re-issuance/ renewal/ extension) of Class II surveying and mapping practice certificates							
31	17975	Application for issuance (re-issuance/ renewal/ extension) of Class II surveying and mapping practice certificate							
31	17975	Conditions for issuance (re-issue/ renewal/ extension) of Class II surveying and mapping practice certificate							
31	17975	Steps to apply for (reissue/reissue/extend) Class II surveying and mapping practice certificate							
31	17975	Get dental work to be granted (reissued/reissued/extended) with a Class II surveying and mapping practice certificate							
31	17975	The agency has the right to issue (re-issue/re-issue/extend) Class II surveying and mapping practice certificates							
441	15998	Declare and appraise environmental protection fee declarations for wastewater	To find out information about: Declaration and appraisal of environmental protection fee declaration for wastewater	Declare and appraise environmental protection fee declarations for wastewater	Provincial public administration center	10 days	Fee waived	https://dichvucong.thuathienhue.gov.vn/tthc/pid/15998	Environmental protection fee
441	15998	Register to declare and appraise the environmental protection fee declaration for wastewater							
441	15998	Procedures for declaration and appraisal of environmental protection fee declaration for wastewater							
441	15998	I want to carry out the procedure to declare and appraise the environmental protection fee declaration for wastewater, what elements are needed?							
441	15998	Application for declaration and appraisal of environmental protection fee declaration for wastewater							
441	15998	Necessary conditions when registering: Declaration and appraisal of environmental protection fee declaration for wastewater							
441	15998	How to declare and appraise the environmental protection fee declaration for wastewater quickly							
441	15997	Declare and appraise environmental protection fee declarations for wastewater	To find out information about: Declaration and appraisal of environmental protection fee declaration for wastewater	Declare and appraise environmental protection fee declarations for wastewater	Provincial public administration center	10 days	Fee waived	https://dichvucong.thuathienhue.gov.vn/tthc/pid/15997	Environmental protection fee
441	15997	Application for declaration and appraisal of environmental protection fee declaration for wastewater							
441	15997	How to declare and evaluate environmental protection fee declaration for wastewater							
441	15997	When can the environmental protection fee declaration for wastewater be declared and appraised?							
441	15997	Procedures for declaring and evaluating environmental protection fee declarations for wastewater							
441	15997	Steps to declare and evaluate environmental protection fee declaration for wastewater							
441	15997	Conditions for declaration and appraisal of environmental protection fee declaration for wastewater							
22813	17781	Delete the registration of security measures using land use rights and assets attached to land	To find out information about: Deregistering security measures using land use rights and assets attached to land	Delete the registration of security measures using land use rights and assets attached to land	Provincial public administration center	1 day	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/17781	Security Transactions
22813	17781	Procedures for de-registration of security interests in land use rights and assets attached to land							
22813	17781	Approval of procedures for deletion of registration of security interests in land use rights and assets attached to land							
22813	17781	Necessary conditions when carrying out procedures for deregistering security interests in land use rights and assets attached to land							
22813	17781	Regulations on procedures for deregistration of security interests in land use rights and assets attached to land							
22813	17781	Implementation process of the procedure to cancel registration of security interests in land use rights and assets attached to land							
22813	17772	Delete the registration of security measures using land use rights and assets attached to land	To find out information about: Deregistering security measures using land use rights and assets attached to land	Delete the registration of security measures using land use rights and assets attached to land	Provincial public administration center	1 day	See procedure details	https://dichvucong.thuathienhue.gov.vn/tthc/pid/17772	Registration of security transactions
22813	17772	How to deregister security interests in land use rights and assets attached to land							
22813	17772	Procedures for de-registration of security interests in land use rights and assets attached to land							
22813	17772	Documents for de-registration of security interests in land use rights and assets attached to land							
22813	17772	Conditions for de-registering security interests in land use rights and assets attached to land							
22813	17772	Steps to deregister security interests in land use rights and assets attached to land							
37612	19741	Procedures for renewing mineral exploitation licenses	To find out information about: Procedures for renewing mineral exploitation licenses	Procedures for renewing mineral exploitation licenses				https://dichvucong.thuathienhue.gov.vn/tthc/pid/19741	Natural resources
37612	19741	How to renew your Mineral Mining License							
37612	19741	Application for extension of Mineral Mining License							
37612	19741	Conditions for renewing mineral exploitation licenses							
37612	19741	Steps to renew Mineral Mining License							
37612	19741	Get dental work to renew your Mineral Mining License							
37618	19740	Procedures for approval of mineral reserves	To find out information about: Procedures for approval of mineral reserves	Procedures for approval of mineral reserves				https://dichvucong.thuathienhue.gov.vn/tthc/pid/19740	Natural resources
37618	19740	Application for approval of mineral reserves							
37618	19740	Conditions for approval of mineral reserves							
37618	19740	Dental work to get mineral reserve approval							
37618	19740	How to get mineral reserve approval							
37618	19740	Steps to approve mineral reserves							
40013	19426	Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time	To find out information about: Procedures for registration and issuance of Certificates of land use rights, ownership of houses and other assets attached to land for the first time	Procedures for registration and issuance of Certificate of land use rights, ownership of houses and other assets attached to land for the first time				https://dichvucong.thuathienhue.gov.vn/tthc/pid/19426	Land
40013	19426	Conditions when registering and issuing a Certificate of land use rights, ownership of houses and other assets attached to land for the first time							
