step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,4.04146,0.46,,
2,3.33804,0.45098,,
3,4.144,0.38636,,
4,3.57197,0.50877,,
5,3.06043,0.58824,,
6,3.51995,0.45614,,
7,3.75172,0.49153,,
8,3.75014,0.46,,
9,4.16961,0.39216,,
10,2.66436,0.63636,,
11,3.29345,0.4902,,
12,4.21603,0.39683,,
13,4.08491,0.41509,,
14,3.24475,0.51786,,
15,2.46691,0.63636,,
16,3.56636,0.48,,
17,2.89197,0.54237,,
18,3.33882,0.51667,,
19,2.58912,0.59375,,
20,2.76644,0.58209,,
21,2.88285,0.57377,,
22,2.84155,0.50847,,
23,3.84529,0.43182,,
24,2.78217,0.5082,,
25,2.78943,0.52542,,
26,3.01637,0.5,,
27,2.60407,0.57143,,
28,2.49231,0.51724,,
29,2.96985,0.48148,,
30,2.31206,0.57377,,
31,2.31203,0.54688,,
32,1.89728,0.61765,,
33,2.24212,0.56061,,
34,2.2437,0.59322,,
35,2.38344,0.57812,,
36,2.4847,0.59259,,
37,2.10986,0.53731,,
38,1.83701,0.66667,,
39,1.85334,0.65278,,
40,2.01477,0.74,,
41,2.01707,0.68182,,
42,1.69627,0.7069,,
43,1.79456,0.61818,,
44,1.87532,0.71667,,
45,1.71744,0.64407,,
46,1.45379,0.71186,,
47,1.40671,0.68852,,
48,1.31409,0.72857,,
49,1.35237,0.72222,,
50,1.44906,0.73585,,
51,1.49013,0.74242,,
52,1.19354,0.78431,,
53,0.99047,0.80702,,
54,1.16102,0.81633,,
55,0.75464,0.83824,,
56,0.90171,0.85484,,
57,0.65764,0.85294,,
58,0.62941,0.88136,,
59,0.76293,0.82258,,
60,0.71626,0.86667,,
61,0.69045,0.86792,,
62,0.61339,0.86441,,
63,0.48069,0.85714,,
64,0.39893,0.91045,,
65,0.38469,0.91045,,
66,1.00144,0.80952,,
67,0.44719,0.90566,,
68,0.38401,0.90385,,
69,0.54972,0.88235,,
70,1.05923,0.84848,,
71,0.40628,0.92857,,
72,0.58205,0.85965,,
73,0.26038,0.93939,,
74,0.75678,0.84127,,
75,1.04062,0.75714,,
76,0.40428,0.89655,,
77,0.76322,0.80952,,
78,0.64438,0.88333,,
79,0.47051,0.9,,
80,0.44141,0.9,,
81,0.65727,0.90909,,
82,0.35644,0.86885,,
83,0.51082,0.90196,,
84,0.60013,0.88462,,
85,0.39683,0.90909,,
86,0.28906,0.93103,,
87,0.56564,0.87143,,
88,0.61784,0.85965,,
89,0.3686,0.92727,,
90,0.39204,0.92157,,
91,0.88447,0.78571,,
92,0.3649,0.86885,,
93,0.37905,0.91176,,
94,0.43962,0.86885,,
95,0.37768,0.91429,,
96,0.31789,0.9,,
97,0.63861,0.83929,,
98,0.4815,0.90476,,
99,0.44223,0.90566,,
100,0.80812,0.83333,,
101,0.38858,0.89062,,
102,0.36662,0.91803,,
103,0.61304,0.8871,,
104,0.49036,0.91071,,
105,0.47589,0.9,,
106,0.41989,0.89474,,
107,0.51434,0.87302,,
108,0.44513,0.89394,,
109,0.39126,0.92593,,
110,0.46347,0.85938,,
111,0.35456,0.9,,
112,0.24382,0.94545,,
113,0.61736,0.89394,,
114,0.43401,0.86275,,
115,0.38243,0.93443,,
116,0.60868,0.86364,,
117,0.28598,0.93103,,
118,0.31228,0.88679,,
119,0.27008,0.92857,,
120,0.2889,0.92453,,
121,0.39255,0.89796,,
122,0.34492,0.92063,,
123,0.57494,0.84722,,
124,0.50656,0.84848,,
125,0.21669,0.93443,,
126,0.56949,0.86364,,
127,0.21042,0.95522,,
128,0.25761,0.90164,,
129,0.2378,0.94231,,
130,0.23203,0.93443,,
131,0.34545,0.94737,,
132,0.2695,0.94444,,
133,0.24095,0.88235,,
134,0.12602,0.98361,,
135,0.2602,0.92982,,
136,0.32988,0.9,,
137,0.45833,0.9,,
138,0.31989,0.86667,,
139,0.47154,0.89394,,
140,0.19499,0.92157,,
141,0.23645,0.90625,,
