step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.27125,0.50769,,
2,4.81126,0.35185,,
3,4.38802,0.36508,,
4,3.09188,0.53846,,
5,3.872,0.41509,,
6,12.45789,0.5,,
7,3.26092,0.5303,,
8,4.26617,0.37037,,
9,2.98754,0.58462,,
10,3.50525,0.5082,,
11,3.80167,0.42593,,
12,12.19565,0.5,,
13,4.08712,0.37255,,
14,3.60337,0.51562,,
15,3.86598,0.43137,,
16,3.61042,0.42857,,
17,2.47436,0.61194,,
18,2.65061,0.57576,,
19,3.85355,0.39535,,
20,2.86628,0.59322,,
21,12.60129,0.5,,
22,11.77647,0.5,,
23,3.30507,0.43103,,
24,2.35967,0.61538,,
25,3.18255,0.46552,,
26,3.01441,0.53846,,
27,2.04558,0.6875,,
28,2.85435,0.53488,,
29,2.83968,0.57692,,
30,2.87173,0.48148,,
31,2.50224,0.55556,,
32,7.5853,0.5,,
33,7.55363,0.5,,
34,2.5258,0.51724,,
35,1.77258,0.65714,,
36,2.19194,0.58491,,
37,7.06774,0.5,,
38,1.60859,0.67213,,
39,1.86437,0.67857,,
40,1.75982,0.66667,,
41,4.74394,0.5,,
42,2.22636,0.56897,,
43,1.42817,0.75362,,
44,1.31848,0.74286,,
45,1.92829,0.64706,,
46,1.41934,0.70492,,
47,1.4734,0.7037,,
48,1.285,0.78571,,
49,1.2926,0.74576,,
50,1.52357,0.74074,,
51,1.60359,0.6875,,
52,1.76831,0.68354,,
53,1.08771,0.7963,,
54,0.96546,0.81481,,
55,1.05854,0.85106,,
56,2.73512,0.5,,
57,0.90746,0.82692,,
58,0.74457,0.83333,,
59,0.58752,0.83333,,
60,2.06198,0.5,,
61,0.528,0.88525,,
62,0.89013,0.74603,,
63,0.41198,0.89655,,
64,1.01064,0.77778,,
65,0.84272,0.80952,,
66,1.40709,0.73418,,
67,0.47527,0.90385,,
68,2.32932,0.5,,
69,0.57812,0.8254,,
70,0.98465,0.7931,,
71,0.62149,0.85294,,
72,0.49879,0.85484,,
73,0.65011,0.86275,,
74,1.84784,0.5,,
75,1.30484,0.5,,
76,0.4554,0.92593,,
77,0.95392,1.0,,
78,0.63733,1.0,,
79,0.67413,0.83824,,
80,0.70498,0.82759,,
81,0.75072,0.89583,,
82,0.37471,0.90164,,
83,0.05005,1.0,,
84,0.4499,0.88136,,
85,0.41617,0.88525,,
86,0.36318,0.90385,,
87,0.49592,0.88889,,
88,0.44678,0.90741,,
89,0.25474,0.9322,,
90,0.85171,0.86047,,
91,0.32203,0.92593,,
92,0.53111,0.86957,,
93,0.66503,0.79365,,
94,0.62042,1.0,,
95,0.43515,0.85714,,
96,0.72727,0.5,,
97,0.75786,1.0,,
98,0.4522,1.0,,
99,0.60228,0.82759,,
100,0.15531,1.0,,
101,0.23545,0.95082,,
102,0.57299,0.84058,,
103,0.6981,0.86538,,
104,0.58393,0.90385,,
105,0.40106,0.90741,,
106,0.5696,0.86207,,
107,0.2988,0.91525,,
108,0.30173,0.88462,,
109,0.49864,0.91489,,
110,0.31147,0.90476,,
111,0.38923,0.85714,,
112,0.31693,0.91489,,
113,0.43191,0.88679,,
114,1.01301,0.79747,,
115,1.01724,0.75949,,
116,1.73929,0.5,,
117,0.46942,0.83077,,
118,0.27044,0.9375,,
119,2.16365,0.5,,
120,0.18095,0.96774,,
121,1.0351,0.5,,
122,0.36351,0.88889,,
123,0.35231,0.88372,,
124,0.48788,0.88235,,
125,0.29784,0.92308,,
126,0.32269,0.90741,,
127,0.51902,0.84127,,
128,0.45277,1.0,,
129,0.43288,1.0,,
130,0.37266,0.89552,,
131,0.47113,0.91379,,
132,0.20697,0.94444,,
133,0.13694,1.0,,
134,0.26225,0.90566,,
135,0.26638,0.96825,,
136,0.34668,0.88889,,
137,0.08453,1.0,,
138,0.16968,0.95238,,
139,0.56896,0.86207,,
140,0.11123,0.95238,,
141,0.03906,1.0,,
142,0.02952,1.0,,
143,0.25729,0.94444,,
144,0.68357,0.85714,,
145,0.77155,0.83929,,
146,0.59235,0.88372,,
147,0.01197,1.0,,
148,0.00675,1.0,,
149,0.33961,0.92857,,
150,0.35851,0.92593,,
151,0.16886,0.9403,,
152,0.00563,1.0,,
153,0.31008,0.89552,,
154,0.00506,1.0,,
155,0.48475,0.87931,,
156,0.23129,0.96296,,
