step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.59216,0.36842,,
2,3.78667,0.61111,,
3,3.5761,0.4,,
4,4.63547,0.23529,,
5,4.79204,0.42857,,
6,3.09283,0.5,,
7,4.53506,0.27273,,
8,2.51141,0.66667,,
9,5.6489,0.44444,,
10,3.40474,0.42105,,
11,1.6209,0.78261,,
12,2.30251,0.38462,,
13,3.16614,0.55556,,
14,2.29856,0.6,,
15,1.67762,0.58333,,
16,3.17266,0.47059,,
17,2.97334,0.4,,
18,2.88819,0.33333,,
19,2.79117,0.55556,,
20,1.54914,0.7,,
21,1.06363,0.61538,,
22,3.53311,0.36364,,
23,2.5664,0.33333,,
24,2.15056,0.4,,
25,2.62438,0.4,,
26,2.03352,0.5,,
27,2.13667,0.5,,
28,1.2345,0.75,,
29,2.85255,0.52632,,
30,0.89437,0.7,,
31,1.83182,0.63636,,
32,2.7406,0.52941,,
33,0.50932,0.77778,,
34,0.99099,0.78571,,
35,1.10226,0.77778,,
36,2.98275,0.66667,,
37,2.21463,0.66667,,
38,2.23815,0.6,,
39,1.53363,0.63043,,
40,2.9007,0.54545,,
41,2.69622,0.46154,,
42,1.79593,0.65,,
43,2.13909,0.5,,
44,2.18849,0.58333,,
45,2.55418,0.4,,
46,1.29633,0.66667,,
47,1.28201,0.75,,
48,0.50967,0.88889,,
49,1.82763,0.58333,,
50,0.68926,0.875,,
51,2.08204,0.5,,
52,3.06153,0.55556,,
53,1.78444,0.66667,,
54,0.58373,0.875,,
55,0.90181,0.84615,,
56,2.37015,0.66667,,
57,2.14363,0.55,,
58,2.28297,0.54545,,
59,1.86358,0.5,,
60,0.35886,0.88889,,
61,2.9013,0.5,,
62,0.30728,0.88889,,
63,1.9774,0.61538,,
64,0.89359,0.66667,,
65,2.34056,0.45455,,
66,2.52589,0.55556,,
67,0.69484,0.82609,,
68,0.72342,0.85714,,
69,0.83329,0.72222,,
70,2.01083,0.6,,
71,1.25962,0.69565,,
72,1.43006,0.55556,,
73,1.5758,0.62857,,
74,1.69773,0.6,,
75,1.48807,0.75,,
76,0.72576,0.7,,
77,2.41322,0.66667,,
78,2.09884,0.72222,,
79,2.13857,0.70588,,
80,1.77688,0.53333,,
81,2.42853,0.52632,,
82,2.13373,0.66667,,
83,1.43477,0.75,,
84,1.81914,0.58333,,
85,1.97426,0.70588,,
86,1.91883,0.52632,,
87,1.43624,0.63636,,
88,2.15628,0.52941,,
89,0.82307,0.77778,,
90,1.47712,0.57143,,
91,2.11108,0.52632,,
92,1.66204,0.5625,,
93,0.7676,0.76923,,
94,1.48639,0.66667,,
95,0.81883,0.83333,,
96,1.68196,0.46667,,
97,2.05911,0.52,,
98,2.12574,0.66667,,
99,1.46868,0.625,,
100,0.5581,0.8,,
101,0.49164,0.85714,,
102,0.6265,0.8125,,
103,1.65353,0.75,,
104,1.12545,0.75,,
105,1.98781,0.66667,,
106,1.48881,0.72222,,
107,1.47026,0.72222,,
108,2.50217,0.5,,
109,0.5037,0.8125,,
110,0.50809,0.85714,,
111,1.24541,0.57143,,
112,1.32644,0.66667,,
113,0.15565,1.0,,
114,1.02689,0.66667,,
115,1.37323,0.65714,,
116,1.82694,0.55556,,
117,0.34041,0.92857,,
118,1.17481,0.83333,,
119,0.33305,0.875,,
120,1.01536,0.75,,
121,0.52866,0.77778,,
122,2.03698,0.66667,,
123,0.55162,0.83333,,
124,1.72466,0.54545,,
125,1.93816,0.57895,,
126,2.06829,0.72222,,
127,1.36386,0.625,,
128,1.51769,0.5,,
129,0.54414,0.83333,,
130,1.87802,0.58824,,
131,1.54112,0.7,,
132,1.65057,0.66667,,
133,1.66526,0.6,,
134,0.40144,0.8,,
135,0.48855,0.86957,,
136,0.63473,0.84615,,
137,1.90187,0.72222,,
138,1.26791,0.6,,
139,0.37713,0.77778,,
140,1.21393,0.75,,
141,1.82818,0.76471,,
142,1.25127,0.63636,,
143,1.37569,0.73333,,
144,1.62352,0.76471,,
145,1.50419,0.70833,,
146,0.61214,0.88889,,
147,1.38412,0.6875,,
148,1.74816,0.63158,,
149,1.24,0.6875,,
150,1.72363,0.66667,,
151,1.50416,0.4,,
152,2.19299,0.42105,,
153,1.73785,0.72222,,
154,1.74817,0.63636,,
155,0.42903,0.9,,
156,1.55123,0.61538,,
157,1.03743,0.80435,,
158,0.59865,0.84615,,
159,1.73207,0.56,,
