step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,3.61657,0.46939,,
2,2.85765,0.59701,,
3,3.64768,0.49123,,
4,2.46525,0.64179,,
5,2.9706,0.61194,,
6,4.19752,0.4127,,
7,3.53543,0.47458,,
8,3.3533,0.54545,,
9,3.3752,0.5098,,
10,3.29228,0.52727,,
11,3.38633,0.50794,,
12,3.63862,0.50794,,
13,2.50938,0.63889,,
14,3.31144,0.53061,,
15,3.52012,0.4898,,
16,2.40818,0.6129,,
17,3.47217,0.50794,,
18,2.22181,0.63889,,
19,1.97527,0.66667,,
20,2.80932,0.55556,,
21,2.63634,0.6,,
22,2.60896,0.55385,,
23,2.68724,0.59322,,
24,2.01947,0.65455,,
25,2.20508,0.63265,,
26,1.65147,0.70149,,
27,2.41732,0.5625,,
28,2.28672,0.63636,,
29,1.35299,0.72581,,
30,2.30534,0.61404,,
31,1.47176,0.74194,,
32,1.47465,0.7551,,
33,1.27738,0.74194,,
34,1.51836,0.71429,,
35,1.00803,0.77778,,
36,1.42474,0.75,,
37,1.22722,0.8,,
38,0.78166,0.84722,,
39,1.05342,0.78431,,
40,0.81545,0.85484,,
41,0.57603,0.875,,
42,1.03184,0.80952,,
43,1.3428,0.75439,,
44,0.41762,0.90909,,
45,0.49079,0.89091,,
46,1.0794,0.77778,,
47,0.34536,0.9403,,
48,0.32333,0.90323,,
49,0.26054,0.93878,,
50,0.3424,0.91667,,
51,0.97927,0.81356,,
52,0.84637,0.82456,,
53,0.87268,0.84211,,
54,0.40856,0.87755,,
55,0.75652,0.84211,,
56,0.29588,0.91667,,
57,0.67008,0.86441,,
58,0.31049,0.91837,,
59,0.26352,0.90909,,
60,0.26758,0.91837,,
61,0.47198,0.85965,,
62,0.22381,0.92157,,
63,0.7093,0.80702,,
64,0.55232,0.89091,,
65,0.45184,0.91228,,
66,0.17232,0.93878,,
67,0.35788,0.89474,,
68,0.36815,0.91525,,
69,0.20066,0.93548,,
70,0.25994,0.91935,,
71,0.24227,0.91837,,
72,0.15942,0.95833,,
73,0.60761,0.88889,,
74,0.61989,0.88889,,
75,0.26274,0.93878,,
76,0.31446,0.91228,,
77,0.47179,0.88889,,
78,0.12008,0.96774,,
79,0.38126,0.90476,,
80,0.4046,0.89831,,
81,0.30172,0.93651,,
82,0.09293,0.97692,,
83,0.29421,0.92982,,
84,0.36718,0.91228,,
85,0.18085,0.96774,,
86,0.261,0.91045,,
87,0.25213,0.92982,,
88,0.15971,0.94545,,
89,0.25934,0.96491,,
90,0.24647,0.93878,,
91,0.17217,0.95522,,
92,0.1936,0.95918,,
93,0.1637,0.95918,,
94,0.2763,0.93878,,
95,0.23763,0.93846,,
96,0.29013,0.90323,,
97,0.22712,0.95918,,
98,0.12799,0.96364,,
